listing_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
1133718,1280,6219420,Shared room,,Singapore,,MK03,9,4.5,12,1.0,,74.0,,2017-05-17 09:10:25.431659,1.293354,103.769226,0101000020E6100000E84EB0FF3AF159409C69C2F693B1F43F
3179080,1280,15295886,Shared room,,Singapore,,TS17,15,5.0,12,1.0,,77.0,,2017-05-17 09:10:24.216548,1.310862,103.858828,0101000020E6100000E738B709F7F659403F1BB96E4AF9F43F
15303457,1280,97053568,Shared room,,Singapore,,MK05,0,0.0,14,1.0,,60.0,,2017-05-17 09:10:16.969900,1.333744,103.764612,0101000020E610000044882B67EFF0594093C7D3F20357F53F
13902389,1280,6219420,Shared room,,Singapore,,MK03,0,0.0,12,1.0,,30.0,,2017-05-17 09:10:15.196321,1.294119,103.769178,0101000020E61000005FB35C363AF15940971DE21FB6B4F43F
13902391,1280,6219420,Shared room,,Singapore,,MK03,1,0.0,12,1.0,,30.0,,2017-05-17 09:10:15.170457,1.292766,103.768432,0101000020E6100000CB4C69FD2DF159407F17B6662BAFF43F
13523873,1280,51507525,Shared room,,Singapore,,MK29,0,0.0,3,1.0,,14.0,,2017-05-17 09:10:15.160798,1.353842,103.94509,0101000020E6100000B471C45A7CFC59403F389F3A56A9F53F
13916549,1280,81373064,Shared room,,Singapore,,TS07,1,0.0,4,1.0,,64.0,,2017-05-17 09:10:03.535733,1.28861,103.848624,0101000020E610000072A609DB4FF65940E7C6F484259EF43F
10001615,1280,50960671,Shared room,,Singapore,,TS04,31,4.5,16,1.0,,78.0,,2017-05-17 09:10:03.528785,1.286715,103.848313,0101000020E610000063F19BC24AF65940BC5CC4776296F43F
12525278,1280,17526618,Shared room,,Singapore,,TS06,3,4.5,16,1.0,,43.0,,2017-05-17 09:10:01.119889,1.282925,103.845295,0101000020E61000003A1E335019F659406688635DDC86F43F
13274598,1280,17526618,Shared room,,Singapore,,TS06,3,4.0,16,1.0,,43.0,,2017-05-17 09:10:01.116458,1.282875,103.845403,0101000020E61000002E3C2F151BF659402DB29DEFA786F43F
12525276,1280,17526618,Shared room,,Singapore,,TS06,5,4.0,16,1.0,,43.0,,2017-05-17 09:10:01.114364,1.282752,103.844652,0101000020E6100000102043C70EF65940B60E0EF62686F43F
3479493,1280,17526618,Shared room,,Singapore,,TS06,58,4.5,16,1.0,,43.0,,2017-05-17 09:10:01.059109,1.283134,103.843235,0101000020E6100000EDF5EE8FF7F55940AE2B6684B787F43F
3861984,1280,15745786,Shared room,,Singapore,,TS04,6,4.0,4,1.0,,43.0,,2017-05-17 09:09:59.239593,1.287912,103.8494,0101000020E61000003C4ED1915CF65940E603029D499BF43F
11646465,1280,61762641,Shared room,,Singapore,,TS06,1,0.0,6,1.0,,60.0,,2017-05-17 09:09:57.315328,1.282634,103.844337,0101000020E610000060730E9E09F6594079CDAB3AAB85F43F
17565315,1280,66697452,Shared room,,Singapore,,TS17,0,0.0,2,1.0,,44.0,,2017-05-17 09:09:57.299256,1.311484,103.859728,0101000020E610000027DD96C805F75940E0A293A5D6FBF43F
13905666,1280,81373064,Shared room,,Singapore,,TS07,0,0.0,6,1.0,,60.0,,2017-05-17 09:09:57.294764,1.288359,103.848634,0101000020E61000008411FB0450F65940C11DA8531E9DF43F
2909498,1280,6219420,Shared room,,Singapore,,MK03,0,0.0,12,1.0,,55.0,,2017-05-17 09:09:57.291540,1.292342,103.768157,0101000020E6100000624CFA7B29F15940AAF413CE6EADF43F
8626676,1280,45368183,Shared room,,Singapore,,TS04,4,5.0,6,1.0,,43.0,,2017-05-17 09:09:57.262673,1.28365,103.846365,0101000020E6100000A9DE1AD82AF65940992A1895D489F43F
3479446,1280,17526618,Shared room,,Singapore,,TS05,112,4.5,16,1.0,,43.0,,2017-05-17 09:09:57.225635,1.281738,103.84362,0101000020E61000001990BDDEFDF55940ADA580B4FF81F43F
11536058,1280,60858169,Shared room,,Singapore,,TS19,0,0.0,6,1.0,,52.0,,2017-05-17 09:09:55.394927,1.303156,103.847101,0101000020E61000002BDA1CE736F65940FA60191BBAD9F43F
9142805,1280,47611818,Shared room,,Singapore,,TS11,17,4.5,4,1.0,,43.0,,2017-05-17 09:09:55.366449,1.299128,103.853161,0101000020E6100000404E98309AF65940121615713AC9F43F
